AAA	NTGA	Anaa Airport	Anaa, Tuamotus, French Polynesia
MVE	KMVE	Montevideo-Chippewa County Airport	Montevideo, Minnesota, United States
MVF	SBMS	Dix-Sept Rosado Airport	Mossoro, Rio Grande do Norte, Brazil
MVL	KMVL	Morrisville-Stowe State Airport	Morrisville, Vermont, United States
MVM	KMVM	Machias Valley Airport	Machias, Maine, United States
MVN	KMVN	Mount Vernon Airport	Mount Vernon, Illinois, United States
MVO	FTTM	Mongo Airport	Mongo, Chad|Mongo, Chad
MVP	SKMU	Fabio Alberto León Bentley Airport	Mitú, Colombia
MVQ	UMOO	Mogilev Airport	Mogilev, Belarus
MVY	KMVY	Martha's Vineyard Airport	Vineyard Haven, Massachusetts, United States
MWA	KMWA	Williamson County Regional Airport	Marion, Illinois, United States
MWC	KMWC	Lawrence J. Timmerman Airport	Milwaukee, Wisconsin, United States
MWF	NVSN	Maewo-Naone Airport	Maewo, Vanuatu
MWH	KMWH	Grant County International Airport	Moses Lake, Washington, United States
MWK	WIOM	Matak Airport	Anambas Islands, Riau Province, Indonesia
MWL	KMWL	Mineral Wells Airport	Mineral Wells, Texas, United States
MWM	KMWM	Windom Municipal Airport	Windom, Minnesota, United States
MWO	KMWO	Hook Field Municipal Airport	Middletown, Ohio, United States
MWZ	HTMW	Mwanza Airport	Mwanza, Tanzania
MXA	KMXA	Manila Municipal Airport	Manila, Arkansas, United States
MXE	KMEB	Laurinburg-Maxton Airport	Maxton, North Carolina, United States
MXF	KMXF	Maxwell Air Force Base	Montgomery, Alabama, United States
MXH	AYMR	Moro Airport	Moro, Papua New Guinea
MXI	RPMQ	Imelda R. Marcos Airport	Mati, Davao Oriental|Mati, Davao Oriental, Philippines
MXL	MMML	General Rodolfo Sánchez Taboada International Airport	Mexicali, Baja California, Mexico
MXN	LFRU	Morlaix Ploujean Airport	Morlaix, France
MXO	KMXO	Monticello Regional Airport	Monticello, Iowa, United States
MXP	LIMC	Malpensa International Airport	Milano, Italy
MXS	NSMA	Maota Airport	Maota, Samoa
MXV	ZMMN	Mörön Airport	Mörön, Khövsgöl Province, Mongolia
MXW	ZMMG	Mandalgovi Airport	Mandalgovi, Dundgovi, Mongolia
MXX	ESKM	Mora Airport	Mora (locality)|Mora, Sweden
MYA	YMRY	Moruya Airport	Moruya, New South Wales, Australia
MYF	KMYF	Montgomery Field	San Diego, California, United States
MYJ	RJOM	Matsuyama Airport	Matsuyama, Ehime, Japan
MYK		May Creek Airport	May Creek, Alaska|May Creek, Alaska, United States
MYL	KMYL	McCall Municipal Airport	McCall, Idaho, United States
MYM	SYMM	Monkey Mountain Airport	Monkey Mountain, Guyana|Monkey Mountain, Guyana
MYP	UTAM	Mary Airport	Mary, Turkmenistan|Mary, Turkmenistan
MYR	KMYR	Myrtle Beach International Airport	Myrtle Beach, South Carolina, United States
MYU	PAMY	Mekoryuk Airport	Mekoryuk, Alaska, United States
MYV	KMYV	Yuba County Airport	Marysville, California, United States
MYY	WBGR	Miri International Airport	Miri, Sarawak, Malaysia
MYZ	KMYZ	Marysville Municipal Airport	Marysville, Kansas, United States
MZB	FQMP	Mocimboa da Praia Airport	Mocimboa da Praia, Mozambique
MZD	LLMZ	Bar Yehuda Airfield	Masada|Metsadah, Israel
MZH	LTAP	Merzifon Airport	Amasya, Turkey
MZI	GAMB	Mopti Airport	Mopti, Mali
MZJ	KMZJ	Pinal Airpark	Marana, Arizona, United States
MZK	NGMK	Marakei Airport	Marakei, Kiribati
MZR	OAMS	Mazari Sharif Airport	Mazari Sharif, Afghanistan
MZT	MMMZ	General Rafael Buelna International Airport	Mazatlán, Sinaloa, Mexico
MZU	VEMZ	Muzzafarpur Airport	Muzzafarpur, India
MZZ	KMZZ	Marion Municipal Airport	Marion, Indiana, United States
NAE	DBBN	Natitingou Airport	Natitingou, Benin
NAG	VANP	Dr. Babasaheb Ambedkar International Airport	Nagpur, India
NAH	WAMH	Naha Airport (Indonesia)|Naha Airport	Tahuna, Indonesia
NAI	SYAN	Annai Airport	Annai, Guyana
NAK	VTUQ	Nakhon Ratchasima Airport	Nakhon Ratchasima, Thailand
NAN	NFFN	Nadi International Airport	Nadi, Fiji
NAO	ZUNC	Nanchong Airport	Nanchong, Sichuan, People's Republic of China
NAP	LIRN	Naples International Airport	Naples, Italy
NAS	MYNN	Nassau International Airport	Nassau, Bahamas|Nassau, Bahamas
NAT	SBNT	Augusto Severo International Airport	Natal, Rio Grande do Norte|Natal, Brazil
NAV	LTAZ	Kapadokya Airport	Nevsehir, Turkey
NAX	PHJR	Kalaeloa Airport (NAS Barbers Point) (John Rodgers Field) (FAA: JRF)	Kapolei, Hawaii, United States
NAY	ZBNY	Beijing Nanyuan Airport|Nanyuan Airport	Beijing, China
NBC	UWKE	Begishevo Airport	Nizhnekamsk/Naberezhnye Chelny, Tatarstan, Russia
NBE	DTNZ	Enfidha – Zine El Abidine Ben Ali International Airport|Enfidha Airport	Enfidha, Tunisia
NBG	KNBG	Naval Air Station Joint Reserve Base New Orleans|NAS JRB New Orleans (Alvin Callender Field)	New Orleans, Louisiana, United States
NBK	VTBS	Suvarnabhumi Airport|Suvarnabhumi International Airport	Bangkok, Thailand
NBO	HKJK	Jomo Kenyatta International Airport	Nairobi, Kenya
NBW	KNBW	Naval Air Station Guantanamo Bay|NAS Guantanamo Bay	Guantanamo Bay, Cuba.
NCA	MBNC	North Caicos Airport	North Caicos, Turks and Caicos Islands
NCE	LFMN	Côte d'Azur International Airport	Nice, France
NCL	EGNT	Newcastle Airport	Newcastle upon Tyne, United Kingdom
NCN	PFCB	Chenega Bay Airport (FAA: C05)	Chenega, Alaska, United States
NCU	UTNN	Nukus Airport	Nukus, Uzbekistan
NCY	LFLP	Meythet Airport	Annecy, France
NDB	GQPP	Nouadhibou International Airport	Nouadhibou, Mauritania
NDC	VAND	Nanded Airport	Nanded, India
NDJ	FTTJ	N'Djamena Airport	N'Djamena, Chad
NDK		Namorik Airport (FAA: 3N0)	Namorik Atoll, Marshall Islands
NDR	GMMW	Arwi Airport	Nador, Morocco
NDU	FYRU	Rundu Airport	Rundu, Okavango Region, Namibia
NDY	EGES	Sanday Airport	Sanday, Scotland, United Kingdom
NDZ	ETMN	Cuxhaven Airport	Nordholz-Spieka, Lower Saxony, Germany
NEC	SAZO	Necochea Airport	Necochea, Buenos Aires, Argentina
NEG	MKNG	Negril Aerodrome	Negril, Jamaica
NEL	KNEL	Naval Air Engineering Station Lakehurst|NAES Lakehurst (Maxfield Field)	Lakehurst, New Jersey, United States
NEN	KNEN	Naval Outlying Field Whitehouse|NOLF Whitehouse	Jacksonville, Florida, United States
NEV	TKPN	Vance W. Amory International Airport	Nevis, Federation of Saint Kitts and Nevis
NEW	KNEW	New Orleans Lakefront Airport	New Orleans, Louisiana, United States
NFL	KNFL	Naval Air Station Fallon|NAS Fallon (Van Voorhis Field)	Fallon, Nevada, United States
NFO	NFTO	Mata'aho Airport	Niuafo'ou, Tonga
NGB	ZSNB	Ningbo Lishe International Airport	Ningbo (near Hangzhou), China
NGO	RJGG	Chubu Centrair International Airport	Nagoya, Japan
NGP	KNGP	Naval Air Station Corpus Christi|NAS Corpus Christi (Truax Field)	Corpus Christi, Texas, United States
NGS	RJFU	Nagasaki Airport	Nagasaki, Nagasaki|Nagasaki, Japan
NGU	KNGU	Naval Station Norfolk|NS Norfolk (Chambers Field)	Norfolk, Virginia, United States
NGW	KNGW	Naval Outlying Field Cabaniss|NOLF Cabaniss	Corpus Christi, Texas, United States
NHK	KNHK	Naval Air Station Patuxent River|NAS Patuxent River (Trapnell Field)	Patuxent River, Maryland, United States
NHT	EGWU	RAF Northolt	Ruislip, England
NHX	KNBJ	Naval Outlying Field Barin|NOLF Barin (FAA: NBJ)	Foley, Alabama, United States
NHZ	KNHZ	Naval Air Station Brunswick|NAS Brunswick	Brunswick, Maine, United States
NIA	GLNA	Nimba Airport	Nimba County|Nimba, Liberia
NIB	PAFS	Nikolai Airport (FAA: FSP)	Nikolai, Alaska, United States
NIM	DRRN	Diori Hamani International Airport	Niamey, Niger
NIN		Ninilchik Airport	Ninilchik, Alaska, United States
NIP	KNIP	Naval Air Station Jacksonville|NAS Jacksonville (Towers Field)	Jacksonville, Florida, United States
NIS		Simberi Airport	Simberi Island, Papua New Guinea
NIX	GANR	Nioro Airport	Nioro du Sahel|Nioro, Mali
NJC	USNN	Nizhnevartovsk Airport	Nizhnevartovsk, Russia
NJF	ORNI	Al Najaf International Airport	Al Najaf, Iraq
NJK	KNJK	Naval Air Facility El Centro|NAF El Centro	El Centro, California, United States
NKC	GQNN	Nouakchott International Airport	Nouakchott, Mauritania
NKG	ZSNJ	Nanjing Lukou International Airport	Nanjing, China
NKL		Nkolo Airport	Nkolo, Democratic Republic of the Congo
NKM	RJNA	Nagoya Airfield (formerly: NGO)	Nagoya, Aichi|Nagoya, Japan
NKT	KNKT	Marine Corps Air Station Cherry Point|MCAS Cherry Point (Cunningham Field)	Cherry Point, North Carolina, United States
NKX	KNKX	Marine Corps Air Station Miramar|MCAS Miramar	San Diego, California, United States
NLC	KNLC	Naval Air Station Lemoore|NAS Lemoore (Reeves Field)	Lemoore, California, United States
NLD	MMNL	Quetzalcóatl International Airport	Nuevo Laredo, Mexico
NLE		Jerry Tyler Memorial Airport (FAA: 3TR)	Niles, Michigan, United States
NLG	PAOU	Nelson Lagoon Airport (FAA: OUL)	Nelson Lagoon, Alaska, United States
NLK	YNSF	Norfolk Island Airport	Norfolk Island, Australia
NLV	UKON	Mykolaiv Airport	Mykolaiv, Ukraine
NMB	VADN	Daman Airport	Daman, India|Daman, India
NME	PAGT	Nightmute Airport (FAA: IGT)	Nightmute, Alaska, United States
NNA	GMMY	Kenitra Airport	Kenitra, Morocco
NNG	ZGNN	Nanning Wuxu International Airport	Nanning, Guangxi, People's Republic of China
NNK		Naknek Airport (FAA: 5NK)	Naknek, Alaska, United States
NNL	PANO	Nondalton Airport (FAA: 5NN)	Nondalton, Alaska, United States
NNR	EICA	Connemara Regional Airport	Inverin, Ireland
NNY	ZHNY	Nanyang Airport	Nanyang, Henan|Nanyang, Henan, People's Republic of China
NOB	MRNS	Nosara Airport	Nosara, Costa Rica
NOC	EIKN	Ireland West Airport Knock|Knock International Airport	Knock, County Mayo|Knock, Ireland
NOD	EDWS	Norden-Norddeich Airport	Norden, _Lower_Saxony|Norden, Lower Saxony, Germany
NOG	MMNG	Nogales International Airport (Mexico)|Nogales International Airport	Nogales, Sonora, Mexico
NOT	KDVO	Gnoss Field (FAA: DVO)	Novato, California, United States
NOU	NWWW	La Tontouta International Airport	Noumea, New Caledonia
NOW	KNOW	Coast Guard Air Station Port Angeles|CGAS Port Angeles	Port Angeles, Washington, United States
NOZ	UNWW	Novokuznetsk Spichenkovo Airport (Prokopyevsk Southeast)	Prokopyevsk, Kemerovo Oblast, Russia
NPA	KNPA	Naval Air Station Pensacola|NAS Pensacola (Forrest Sherman Field)	Pensacola, Florida, United States
NPE	NZNR	Napier Airport (Hastings Airport)	Napier, New Zealand|Napier, New Zealand
NPH		Nephi Municipal Airport (FAA: U14)	Nephi, Utah, United States
NPL	NZNP	New Plymouth Airport	New Plymouth, New Zealand
NPT	KUUU	Newport State Airport (Rhode Island)|Newport State Airport (FAA: UUU)	Newport, Rhode Island, United States
NQA	KNQA	Millington Regional Jetport	Millington, Tennessee, United States
NQI	KNQI	Naval Air Station Kingsville|NAS Kingsville	Kingsville, Texas, United States
NQN	SAZN	Presidente Perón International Airport	Neuquen, Argentina
NQU	SKNQ	Reyes Murillo Airport	Nuquí, Colombia
NQX	KNQX	Naval Air Station Key West|NAS Key West (Boca Chica Field)	Boca Chica Key, Florida, United States
NQY	EGDG	Newquay Cornwall International Airport	Newquay, England, United Kingdom
NRB	KNRB	Naval Station Mayport|NS Mayport (Adm. David L. McDonald Field)	Mayport, Florida, United States
NRC	KNRC	NASA Crows Landing Airport (formerly NALF Crows Landing)	Crows Landing, California, United States
NRD	EDWY	Norderney Airport	Norderney, Germany
NRM	GANK	Keibane Airport	Nara, Mali|Nara, Mali
NRN	EDLV	Weeze Airport (formerly Niederrhein Airport)	Weeze, Airport Weeze|Niederrhein, Germany near Nijmegen
NRS	KNRS	Naval Outlying Field Imperial Beach|NOLF Imperial Beach (Ream Field)	Imperial Beach, California, United States
NRT	RJAA	Narita International Airport (formerly New Tokyo International)	Narita (near Tokyo), Japan
NSE	KNSE	NAS Whiting Field - North	Milton, Florida, United States
NSI	FKYS	Yaoundé Nsimalen International Airport	Yaoundé, Cameroon
NSK	UOOO	Norilsk Alykel Airport	Norilsk, Russia
NSN	NZNS	Nelson Airport (New Zealand)|Nelson Airport	Nelson, New Zealand|Nelson, New Zealand
NSY	LICZ	Sigonella Airport	Catania, Italy
NTB	ENNO	Notodden Airport, Tuven,	Notodden, Norway
NTD	KNTD	Naval Air Station Point Mugu|NAS Point Mugu (Naval Base Ventura County)	Point Mugu, California, United States
NTE	LFRS	Nantes Atlantique Airport	Nantes, France
NTJ		Manti-Ephraim Airport (FAA: 41U)	Manti, Utah, United States
NTL	YWLM	Newcastle Airport (Williamtown)|Newcastle Airport / RAAF Base Williamtown	Newcastle, New South Wales, Australia
NTO	GVAN	Agostinho Neto Airport	Santo Antão, Cape Verde|Ponta do Sol, Santo Antão, Cape Verde|Santo Antão, Cape Verde
NTU	KNTU	Naval Air Station Oceana|NAS Oceana (Apollo Soucek Field)	Virginia Beach, Virginia, United States
NTX	WION	Ranai Airport	Natuna Islands|Natuna, Riau Islands, Indonesia
NTY	FAPN	Pilanesberg International Airport	Pilanesberg, South Africa
NUE	EDDN	Nuremberg Airport	Nuremberg, Germany
NUG	BGNQ	Nuugaatsiaq Heliport	Nuugaatsiaq, Greenland
NUI	PAQT	Nuiqsut Airport (FAA: AQT)	Nuiqsut, Alaska, United States
NUL	PANU	Nulato Airport	Nulato, Alaska, United States
NUN	KNUN	Naval Outlying Field Saufley|NOLF Saufley	Pensacola, Florida, United States
NUP		Nunapitchuk Airport (FAA: 16A)	Nunapitchuk, Alaska, United States
NUQ	KNUQ	Moffett Federal Airfield	Mountain View, California, United States
NUS	BGNU	Nuussuaq Heliport	Nuussuaq, Greenland
NUW	KNUW	Naval Air Station Whidbey Island|NAS Whidbey Island (Ault Field)	Oak Harbor, Washington, United States
NUX	NSMU	Novy Urengoy Airport	Novy Urengoy, Russia
NVA	SKNV	Benito Salas Airport	Neiva, Colombia|Neiva, Colombia
NVD	KNVD	Nevada Municipal Airport	Nevada, Missouri, United States
NVK	ENNK	Narvik Airport, Framnes	Narvik, Nordland, Norway
NVT	SBNF	Ministro Victor Konder International Airport	Navegantes, Santa Catarina (state)|Santa Catarina, Brazil
NWH		Parlin Field (FAA: 2B3)	Newport, New Hampshire, United States
NWI	EGSH	Norwich International Airport	Norwich, England, United Kingdom
NXX	KNXX	Naval Air Station Joint Reserve Base Willow Grove|NAS JRB Willow Grove	Willow Grove, Pennsylvania, United States
NYC		List of airports in the New York City area|All Airports	New York City, New York, United States
NYG	KNYG	Marine Corps Airfield Quantico|MCAF Quantico (Turner Field)	Quantico, Virginia, United States
NYI	DGSN	Sunyani Airport	Sunyani, Ghana
NYK	HKNY	Nanyuki Airport	Nanyuki, Kenya
NYO	ESKN	Stockholm-Skavsta Airport	Nyköping, Sweden
NZC	KVQQ	Cecil Field (FAA: VQQ)	Jacksonville, Florida, United States
NZE	GUNZ	Nzérékoré Airport	N'zerekore, Guinea
NZJ	KNZJ	Marine Corps Air Station El Toro|MCAS El Toro	Santa Ana, California, United States
NZY	KNZY	Naval Air Station North Island|NAS North Island (Halsey Field)	San Diego, California, United States
OAJ	KOAJ	Albert J. Ellis Airport	Jacksonville, North Carolina, United States
OAK	KOAK	Oakland International Airport	Oakland, California|Oakland (near San Francisco), California, United States
OAM	NZOU	Oamaru Airport	Oamaru, North Otago, New Zealand
OAX	MMOX	Xoxocotlán International Airport	Oaxaca, Oaxaca|Oaxaca, Mexico
OBC	HDOB	Obock Airport	Obock, Djibouti
OBD	LEBA	Córdoba Airport	Córdoba, Spain|Córdoba, Spain
OBE	KOBE	Okeechobee County Airport	Okeechobee, Florida, United States
OBF	EDMO	Oberpfaffenhofen Airport	Oberpfaffenhofen, Germany
OBL	EBZR	Zoersel-Oostmalle Airfield	Zoersel / Oostmalle, Belgium
OBO	RJCB	Tokachi-Obihiro Airport	Obihiro, Tokachi Subprefecture, Hokkaido, Japan
OBU		Kobuk Airport	Kobuk, Alaska, United States
OBY	BGSC	Ittoqqortoormiit Heliport	Ittoqqortoormiit, Greenland
OCA		Ocean Reef Club Airport (FAA: 07FA)	Key Largo, Florida|Key Largo, Florida, United States
OCC	SECO	Francisco de Orellana Airport	Puerto Francisco de Orellana|Coca, Ecuador
OCE	KOXB	Ocean City Municipal Airport (Maryland)|Ocean City Municipal Airport (FAA: OXB)	Ocean City, Maryland, United States
OCF	KOCF	Ocala International Airport (Jim Taylor Field)	Ocala, Florida, United States
OCH	KOCH	A. L. Mangham Jr. Regional Airport	Nacogdoches, Texas, United States
OCJ	MKBS	Boscobel Aerodrome	Ocho Rios, Jamaica
OCN	KOKB	Oceanside Municipal Airport (FAA: OKB)	Oceanside, California, United States
OCW	KOCW	Warren Field	Washington, North Carolina, United States
ODE	EKOD	Odense Airport	Odense, Denmark
ODH	EGVO	RAF Odiham	Odiham, United Kingdom
ODS	UKOO	Odessa International Airport	Odessa, Ukraine
ODW	KOKH	A.J. Eisenberg Airport (FAA: OKH)	Oak Harbor, Washington, United States
OEA	KOEA	O'Neal Airport	Vincennes, Indiana, United States
OEL	KOEL	Oakley Municipal Airport	Oakley, Kansas, United States
OEM	SMPA	Vincent Fayks Airport	Paloemeu, Suriname
OEO	KOEO	L. O. Simenstad Municipal Airport	Osceola, Wisconsin, United States
OER	ESNO	Örnsköldsvik Airport	Örnsköldsvik, Sweden
OFF	KOFF	Offutt Air Force Base	Omaha, Nebraska, United States
OFK	KOFK	Karl Stefan Memorial Airport	Norfolk, Nebraska, United States
OFU		Ofu Airport	Ofu, American Samoa
OGA	KOGA	Searle Field	Ogallala, Nebraska, United States
OGB	KOGB	Orangeburg Municipal Airport	Orangeburg, South Carolina, United States
OGD	KOGD	Ogden-Hinckley Airport	Ogden, Utah, United States
OGG	PHOG	Kahului Airport	Kahului, Hawaii, United States
OGL	SYGO	Ogle Airport	Georgetown, Guyana|Georgetown, Guyana
OGR	FTTB	Bongor Airport	Bongor, Chad
OGS	KOGS	Ogdensburg International Airport	Ogdensburg, New York, United States
OHD	LWOH	Ohrid Airport	Ohrid, Republic of Macedonia
OHH		Okha Airport	Okha, Russia
OHT	OPKT	Kohat Airport	Kohat, Pakistan
OIC	KOIC	Norwich Lt. Warren Eaton Airport	Norwich, New York, United States
OIR	RJEO	Okushiri Airport	Okushiri, Okushiri Island, Hokkaido, Japan
OIT	RJFO	Oita Airport	Oita, Oita|Oita, Japan
OIZ	DTTP	Bizerte-Sidi Ahmed Air Base	Bizerte, Tunisia
OJC	KOJC	Johnson County Executive Airport	Olathe, Kansas, United States
OKA	ROAH	Naha Airport	Okinawa, Japan
OKB		Orchid Beach	Fraser Island, Queensland, Australia
OKC	KOKC	Will Rogers World Airport	Oklahoma City, Oklahoma, United States
OKH	EGXJ	RAF Cottesmor	Oakham, England, United Kingdom
OKJ	RJOB	Okayama Airport	Okayama, Japan
OKK	KOKK	Kokomo Municipal Airport	Kokomo, Indiana, United States
OKM	KOKM	Okmulgee Regional Airport	Okmulgee, Oklahoma, United States
OKS	KOKS	Garden County Airport	Oshkosh, Nebraska, United States
OLB	LIEO	Olbia – Costa Smeralda Airport	Olbia, Italy
OLD	KOLD	Old Town Municipal Airport and Seaplane Base (DeWitt Field)	Old Town, Maine, United States
OLE	KOLE	Cattaraugus County-Olean Airport	Olean, New York, United States
OLF	KOLF	L. M. Clayton Airport	Wolf Point, Montana, United States
OLH		Old Harbor Airport (FAA: 6R7)	Old Harbor, Alaska, United States
OLM	KOLM	Olympia Airport	Olympia, Washington, United States
OLS	KOLS	Nogales International Airport	Nogales, Arizona, United States
OLU	KOLU	Columbus Municipal Airport (Nebraska)	Columbus, Nebraska, United States
OLV	KOLV	Olive Branch Airport	Olive Branch, Mississippi, United States
OLY	KOLY	Olney-Noble Airport	Olney, Illinois|Olney-Noble, Illinois, United States
OMA	KOMA	Eppley Airfield	Omaha, Nebraska, United States
OMC	RPVO	Ormoc Airport	Ormoc City, Philippines
OME	PAOM	Nome Airport	Nome, Alaska, United States
OMH	OITR	Orange County Airport (Virginia)|Orange County Airport	Orange, Virginia, United States
OMI	OIAJ	Omidiyeh Air Base	Omidiyeh, Iran
OMK	KOMK	Omak Airport	Omak, Washington, United States
OMN		Osmanabad Airport	Osmanabad, India
OMO	LQMO	Mostar International Airport	Mostar, Bosnia and Herzegovina
